,Years,CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm),years_workaround
110,4354.3,591.9237093,0.88,218.3,420.0,43.543
111,4391.2,577.119004,0.88,218.3,420.0,43.912
112,4396.3,580.0,0.88,218.3,420.0,43.963
113,4400.2,581.0495945,0.88,218.3,420.0,44.001999999999995
114,4434.7,587.1366406,0.88,218.3,420.0,44.347
115,4453.6,587.7,0.88,218.3,420.0,44.536
116,4502.9,616.8977809,0.88,218.3,420.0,45.028999999999996
117,4552.8,601.5953347,0.88,218.3,420.0,45.528
118,4591.8,601.6308641,0.88,218.3,420.0,45.918
119,4648.4,599.0,0.88,218.3,420.0,46.483999999999995
120,4656.8,601.4185,0.88,218.3,420.0,46.568000000000005
121,4659.7,595.3,0.88,218.3,420.0,46.597
122,4686.7,606.5437038,0.88,218.3,420.0,46.867
123,4740.9,603.6,0.88,218.3,420.0,47.409
124,4757.6,635.9298692,0.88,218.3,420.0,47.576
125,4758.7,603.3,0.88,218.3,420.0,47.586999999999996
126,4787.9,607.9864841,0.88,218.3,420.0,47.879
127,4866.6,605.3,0.88,218.3,420.0,48.666000000000004
128,4951.2,632.5764859,0.88,218.3,420.0,49.512
129,4973.5,607.0,0.88,218.3,420.0,49.735
130,5010.5,613.5436639,0.88,218.3,420.0,50.105
131,5065.6,631.0443895,0.88,218.3,420.0,50.656000000000006
132,5069.7,609.7,0.88,218.3,420.0,50.696999999999996
133,5154.9,612.446,0.88,218.3,420.0,51.549
134,5155.9,607.3,0.88,218.3,420.0,51.559
135,5177.4,622.5149715,0.88,218.3,420.0,51.773999999999994
136,5259.4,618.3,0.88,218.3,420.0,52.593999999999994
137,5303.2,618.226687,0.88,218.3,420.0,53.032
138,5338.7,601.7,0.88,218.3,420.0,53.387
139,5360.4,623.1917464,0.88,218.3,420.0,53.604
140,5455.4,611.7,0.88,218.3,420.0,54.553999999999995
141,5458.4,602.443527,0.88,218.3,420.0,54.583999999999996
142,5479.5,617.44583,0.88,218.3,420.0,54.795
143,5546.4,625.2244872,0.88,218.3,420.0,55.464
144,5547.5,609.7,0.88,218.3,420.0,55.475
145,5573.2,617.0,0.88,218.3,420.0,55.732
146,5593.5,616.5103982,0.88,218.3,420.0,55.935
147,5622.6,622.7,0.88,218.3,420.0,56.226000000000006
148,5666.3,619.9539491,0.88,218.3,420.0,56.663000000000004
149,5709.9,619.0693297,0.88,218.3,420.0,57.099
150,5719.5,623.0,0.88,218.3,420.0,57.195
151,5738.2,619.5719928,0.88,218.3,420.0,57.382
152,5754.0,623.3333333,0.88,218.3,420.0,57.54
153,5772.8,617.9202967,0.88,218.3,420.0,57.728
154,5811.5,619.5308021,0.88,218.3,420.0,58.115
155,5818.8,610.7,0.88,218.3,420.0,58.188
156,5828.2,612.4652947,0.88,218.3,420.0,58.282
157,5873.3,613.6666667,0.88,218.3,420.0,58.733000000000004
158,5891.3,620.0,0.88,218.3,420.0,58.913000000000004
159,5906.6,597.7,0.88,218.3,420.0,59.066
160,5921.0,600.0956824,0.88,218.3,420.0,59.21
161,5924.0,612.3333333,0.88,218.3,420.0,59.24
162,5941.8,589.0,0.88,218.3,420.0,59.418
163,5962.8,613.0637808,0.88,218.3,420.0,59.628
164,6006.6,624.3,0.88,218.3,420.0,60.066
165,6035.4,659.97201,0.88,218.3,420.0,60.354
166,6062.1,632.3333333,0.88,218.3,420.0,60.621
167,6088.6,605.7,0.88,218.3,420.0,60.886
168,6103.0,626.4409586,0.88,218.3,420.0,61.03
169,6115.7,632.6666667,0.88,218.3,420.0,61.157
170,6117.7,623.9108336,0.88,218.3,420.0,61.177
171,6139.3,651.0,0.88,218.3,420.0,61.393
172,6158.4,640.3333333,0.88,218.3,420.0,61.583999999999996
173,6205.2,641.85,0.88,218.3,420.0,62.052
174,6221.2,640.7,0.88,218.3,420.0,62.211999999999996
175,6251.6,659.5559579,0.88,218.3,420.0,62.516000000000005
176,6319.4,647.171,0.88,218.3,420.0,63.193999999999996
177,6323.2,649.3,0.88,218.3,420.0,63.232
178,6381.0,664.5976184,0.88,218.3,420.0,63.81
179,6420.7,648.0380811,0.88,218.3,420.0,64.207
180,6427.8,659.7,0.88,218.3,420.0,64.278
181,6485.4,654.1022348,0.88,218.3,420.0,64.854
182,6502.0,653.7,0.88,218.3,420.0,65.02
183,6572.8,661.5987688,0.88,218.3,420.0,65.72800000000001
184,6599.3,657.3,0.88,218.3,420.0,65.993
185,6693.9,670.74,0.88,218.3,420.0,66.939
186,6697.6,659.0,0.88,218.3,420.0,66.976
187,6758.1,675.4418396,0.88,218.3,420.0,67.581
188,6813.9,676.1815996,0.88,218.3,420.0,68.139
189,6821.2,657.5,0.88,218.3,420.0,68.212
190,6881.5,673.7165,0.88,218.3,420.0,68.815
191,6891.6,657.3,0.88,218.3,420.0,68.916
192,6955.7,647.6441176,0.88,218.3,420.0,69.557
193,7010.9,670.7,0.88,218.3,420.0,70.109
194,7070.1,663.5094977,0.88,218.3,420.0,70.70100000000001
195,7130.8,671.35,0.88,218.3,420.0,71.308
196,7134.8,664.7,0.88,218.3,420.0,71.348
197,7183.6,664.0419989,0.88,218.3,420.0,71.836
198,7185.4,665.0,0.88,218.3,420.0,71.854
199,7198.8,666.430382,0.88,218.3,420.0,71.988
200,7257.3,663.3,0.88,218.3,420.0,72.57300000000001
201,7331.4,675.0227138,0.88,218.3,420.0,73.314
202,7355.0,670.9140778,0.88,218.3,420.0,73.55
203,7361.8,673.7,0.88,218.3,420.0,73.618
204,7441.2,676.3347122,0.88,218.3,420.0,74.41199999999999
205,7509.5,675.3505458,0.88,218.3,420.0,75.095
206,7559.5,682.3,0.88,218.3,420.0,75.595
