,Years(kyr),CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm)
212,7768.8,673.840889,,,
213,7844.2,669.5888899,,,
214,7850.9,682.3,,,
215,7885.0,674.6233881,,,
216,7932.1,685.0,,,
217,8011.5,678.0,,,
218,8086.2,717.0515,,,
219,8147.7,698.0,,,
220,8241.6,694.2864599,,,
221,8253.7,678.0,,,
222,8302.5,682.4566084,,,
223,8323.5,688.0,,,
224,8443.6,672.163994,,,
225,8459.0,661.3,,,
226,8528.2,668.6787834,,,
227,8567.5,652.0,,,
228,8654.3,671.3971893,,,
229,8661.9,666.0,,,
230,8708.7,684.5189354,,,
231,8757.1,680.7,,,
232,8861.6,693.5484963,,,
233,8867.5,673.3,,,
234,8921.6,679.2116836,,,
235,8974.5,703.0,,,
236,9116.4,650.4022932,,,
237,9127.8,633.3,,,
238,9173.6,652.519,,,
239,9180.1,654.3,,,
240,9266.2,664.7,,,
241,9374.9,643.4884398,,,
242,9382.6,559.0,,,
243,9459.9,469.0,,,
244,9660.3,488.431719,,,
245,9674.6,467.7,,,
246,9766.6,477.3,,,
247,9848.3,462.0160152,,,
248,9858.3,482.7,,,
249,9971.2,462.3,,,
250,10083.0,480.2567037,,,
251,10088.8,466.7,,,
252,10143.5,478.5904994,,,
253,10387.5,542.0,,,
254,10526.8,650.993563,,,
255,10534.8,627.0,,,
256,10654.9,643.3,,,
257,10785.5,610.4635896,,,
258,10797.3,646.0,,,
259,10933.8,661.4955,,,
260,10959.7,661.7,,,
261,11119.8,670.4033836,,,
262,11128.6,653.3,,,
263,11305.2,645.7,,,
264,11406.1,628.4335,,,
265,11468.2,624.8581951,,,
266,11477.9,618.7,,,
267,11547.3,613.0,,,
268,11674.6,618.6,,,
269,11687.3,623.2599844,,,
270,11696.0,630.0,,,
271,11821.4,611.7,,,
272,11991.8,578.3,,,
273,12001.0,596.8829014,,,
274,12059.8,568.8756288,,,
275,12339.1,464.7,,,
276,12361.7,476.0199447,,,
277,12584.5,461.0,,,
278,12596.8,469.6166667,,,
279,12604.6,468.6689331,,,
280,12760.9,459.3,,,
281,12919.7,469.8641497,,,
282,13016.2,475.7,,,
283,13252.6,463.0097119,,,
284,13266.7,451.0,,,
285,13442.8,451.7,,,
286,13595.2,441.3803499,,,
287,13605.0,456.0,,,
288,13894.1,441.2,,,
289,13915.1,438.4386673,,,
290,13920.0,473.3,,,
291,14110.3,418.7,,,
292,14263.3,423.7,,,
293,14292.5,427.3,,,
294,14480.0,404.7,,,
295,14654.3,409.2,,,
296,14667.1,404.1524256,,,
297,14876.1,408.3,,,
298,14882.5,381.3,,,
299,15095.8,395.4,,,
300,15124.6,388.8398486,,,
301,15366.4,371.3,,,
302,15555.7,375.4,,,
303,15580.8,366.152,,,
304,15592.7,383.7,,,
305,15838.8,366.3,,,
306,15958.7,377.2381364,,,
307,15973.3,371.3,,,
308,16306.2,375.3,,,
309,16540.1,370.9,,,
310,16558.0,378.336,,,
311,16568.7,371.0,,,
312,16923.3,372.7418456,,,
313,16940.4,378.7,,,
314,17366.5,365.7,,,
315,17500.7,358.0826297,,,
316,17529.0,377.0,,,
317,17730.0,356.3,,,
318,17742.9,351.3,,,
319,18013.4,373.7419869,,,
320,18174.3,375.3,,,
321,18515.5,383.75,,,
322,18518.6,366.7327831,,,
323,18757.8,378.3,,,
324,19004.1,364.8082455,,,
325,19267.6,353.7,,,
326,19519.5,357.0,,,
327,19836.3,357.3,,,
328,20035.6,355.3,,,
329,20767.9,407.3,,,
330,20945.0,384.65,,,
331,21179.6,390.0,,,
332,21328.7,389.75,,,
333,21522.2,389.7,,,
334,21797.4,386.475,,,
335,21938.1,398.0,,,
336,22134.1,375.1,,,
337,22349.0,360.0,,,
338,22565.5,372.7,,,
339,22771.1,388.7,,,
340,22977.4,372.475,,,
341,23379.2,369.7,,,
342,23649.1,365.0,,,
343,23874.4,355.0,,,
344,24039.6,364.125,,,
345,24681.1,396.3,,,
346,24968.0,387.0,,,
347,25123.9,386.2,,,
348,25385.9,395.85,,,
349,25553.5,406.3,,,
350,25729.9,426.3,,,
351,25945.7,381.925,,,
352,26185.6,399.0,,,
353,26335.5,402.375,,,
354,26552.0,414.0,,,
355,26813.5,443.875,,,
356,27140.9,388.3,,,
357,27368.7,367.7,,,
358,27751.0,391.0,,,
359,28029.6,399.3,,,
360,28197.8,392.375,,,
361,28668.2,409.7,,,
362,28810.6,408.475,,,
363,29024.4,391.7,,,
364,29247.6,404.425,,,
365,29453.9,412.0,,,
366,29805.9,426.5,,,
367,29842.9,421.625,,,
368,29945.2,440.9,,,
369,30119.4,457.4,,,
370,30213.0,470.8,,,
371,30303.6,430.625,,,
372,30419.9,451.9,,,
373,30464.5,409.15,,,
374,30637.6,410.4,,,
375,30694.6,404.6,,,
376,30817.7,404.0,,,
377,30863.6,414.5,,,
378,30953.8,432.0,,,
379,31076.2,423.5,,,
380,31110.0,427.65,,,
381,31198.4,439.6,,,
382,31251.8,443.3,,,
383,31298.4,444.3,,,
384,31530.2,460.9,,,
385,31737.9,478.7,,,
386,31784.6,425.9,,,
387,31859.5,415.4,,,
388,31906.6,419.0,,,
389,32095.8,420.4,,,
390,32129.2,430.075,,,
391,32234.8,430.0,,,
392,32387.2,428.0,,,
393,32580.7,447.05,,,
394,32627.5,457.0,,,
395,32718.2,489.0,,,
396,32950.6,519.2,,,
397,32954.4,519.85,,,
398,32995.5,512.5,,,
399,33110.5,514.3,,,
400,33231.1,497.7,,,
401,33288.1,491.85,,,
402,33380.3,426.9,,,
403,33539.4,420.6,,,
404,33699.7,444.0,,,
405,33814.1,425.6,,,
406,33890.7,425.2,,,
407,33942.9,440.75,,,
408,34049.7,440.3,,,
409,34154.4,441.3,,,
410,34358.1,470.8,,,
411,34423.6,468.5,,,
412,34572.2,494.45,,,
413,34662.6,523.8,,,
414,34986.9,533.6,,,
415,35038.2,534.375,,,
416,35176.9,586.7,,,
417,35237.6,536.3,,,
418,35249.9,548.2,,,
419,35348.3,571.9,,,
420,35416.6,563.275,,,
421,35456.1,580.4,,,
422,35564.5,560.4,,,
423,35574.1,556.7,,,
424,35609.0,543.9,,,
425,35725.2,546.675,,,
426,35801.2,539.0,,,
427,35898.6,539.5,,,
428,35943.3,481.0,,,
429,36095.1,526.275,,,
430,36287.2,443.0,,,
431,36471.1,440.15,,,
432,36847.4,455.1,,,
433,37069.7,441.3,,,
434,37225.6,450.1,,,
435,37422.8,443.7,,,
436,37640.9,427.0,,,
437,37804.0,418.7,,,
438,37840.6,418.7,,,
439,37857.8,410.9,,,
440,38046.9,423.8,,,
441,38080.8,422.3,,,
442,38101.8,413.5,,,
443,38212.1,442.4,,,
444,38260.5,447.5,,,
445,38268.5,440.4028598,,,
446,38343.5,449.9,,,
447,38420.8,429.0,,,
448,38475.0,420.1,,,
449,38685.6,413.0,,,
450,38698.6,418.5,,,
451,38853.9,426.2,,,
452,38897.8,446.9,,,
453,38909.7,422.3833333,,,
454,39000.9,433.3,,,
455,39107.6,419.7,,,
456,39118.5,433.9,,,
457,39159.5,433.4,,,
458,39215.6,441.68,,,
459,39273.0,457.4,,,
460,39307.1,465.3,,,
461,39315.1,461.9,,,
462,39401.0,465.1,,,
463,39419.9,464.6666667,,,
464,39510.9,467.2,,,
465,39736.8,458.1,,,
466,39976.8,413.8794188,,,
467,40101.3,429.0461436,,,
468,40212.8,416.1,,,
469,40346.2,415.111879,,,
470,40546.1,455.9,,,
471,40728.9,446.4,,,
472,40889.4,471.4,,,
473,40934.0,470.0,,,
474,41086.0,486.3,,,
475,41168.7,481.5,,,
476,41395.2,463.0,,,
477,41486.5,437.4,,,
478,41639.7,415.43,,,
479,41912.9,411.3333333,,,
480,42212.2,430.6,,,
481,42452.6,427.3333333,,,
482,42724.6,468.67,,,
483,43038.9,461.6666667,,,
484,43284.0,489.81,,,
485,43464.1,466.6666667,,,
486,43748.1,487.05,,,
487,43927.2,499.3333333,,,
488,44263.5,497.47,,,
489,44389.4,514.0,,,
490,44598.5,499.35,,,
491,44794.9,493.0,,,
492,45038.2,440.27,,,
493,45237.7,432.1,,,
494,45270.9,441.4,,,
495,45521.1,424.5,,,
496,45718.3,436.6666667,,,
497,46002.4,452.8,,,
498,46223.0,414.0,,,
499,46727.5,435.0,,,
500,46988.5,461.23,,,
501,47307.4,464.0,,,
502,47538.2,433.5,,,
503,47765.5,451.8,,,
504,47940.0,491.65,,,
505,48241.6,469.6666667,,,
506,48490.5,489.02,,,
507,48672.4,493.0,,,
508,48970.8,510.15,,,
509,49193.8,515.0,,,
510,49476.5,544.03,,,
511,49670.8,517.0,,,
512,49933.2,530.9,,,
513,50169.7,526.6,,,
514,50398.5,566.5,,,
515,50582.2,542.6666667,,,
516,50864.0,529.3,,,
517,51039.4,530.0,,,
518,51248.7,535.1,,,
519,51481.6,513.0,,,
520,51738.5,438.15,,,
521,51922.0,438.0,,,
522,52150.3,437.04,,,
523,52452.7,461.6,,,
524,52880.6,475.6666667,,,
525,53135.1,514.37,,,
526,53338.1,460.6666667,,,
527,53642.4,466.0,,,
528,53845.6,534.2,,,
529,53856.6,483.0,,,
530,54366.2,546.0,,,
531,54642.3,550.1,,,
532,54840.0,542.9,,,
533,54893.1,553.9,,,
534,55306.4,541.6666667,,,
535,55585.6,514.8,,,
536,55771.2,519.6666667,,,
537,56042.7,561.1,,,
538,56207.7,554.0,,,
539,56441.3,502.1,,,
540,56660.1,523.0,,,
541,56930.0,454.2,,,
542,57103.6,441.8,,,
543,57416.0,434.9,,,
544,57640.3,425.0,,,
545,57914.9,442.7,,,
546,58098.6,426.3333333,,,
547,58390.5,430.1,,,
548,58597.8,425.3333333,,,
549,58862.0,412.0,,,
550,58898.2,436.61,,,
551,59100.8,431.6666667,,,
552,59696.9,430.8,,,
553,60007.1,438.7,,,
554,60251.8,430.0,,,
555,60605.5,443.7,,,
556,60868.7,444.0,,,
557,61253.0,467.5,,,
558,61482.2,484.0,,,
559,61817.0,488.8,,,
560,62067.2,434.0,,,
561,62400.0,439.7,,,
562,62703.9,461.9,,,
563,63034.0,461.1,,,
564,63308.9,456.6666667,,,
565,63665.2,475.6,,,
566,63976.1,444.0,,,
567,64305.1,460.7,,,
568,64538.7,449.3333333,,,
569,64867.7,459.3,,,
570,65126.2,452.6666667,,,
571,65482.3,470.5,,,
572,65782.4,479.6,,,
573,66086.0,450.7,,,
574,66329.4,456.0,,,
575,66734.3,473.7,,,
576,67026.0,460.0,,,
577,67410.3,462.1,,,
578,67636.3,450.3333333,,,
579,67982.7,489.8,,,
580,68221.2,472.6666667,,,
581,68494.6,469.8,,,
582,68683.3,475.4,,,
583,68915.6,481.5,,,
584,69148.4,448.6666667,,,
585,69403.2,430.9,,,
586,69660.9,432.0,,,
587,69941.0,432.1,,,
588,70258.7,457.3333333,,,
589,70579.0,452.8,,,
590,70904.1,447.6666667,,,
591,71175.3,452.3,,,
592,71482.9,451.1,,,
593,71735.1,460.7,,,
594,71966.1,469.0,,,
595,72206.9,467.1,,,
596,72441.0,476.6666667,,,
597,72681.3,460.7,,,
598,72934.7,415.6666667,,,
599,73188.8,414.8,,,
600,73474.6,424.3333333,,,
601,73762.1,437.5,,,
602,74022.1,422.2,,,
603,74291.0,465.8,,,
604,74579.2,441.6666667,,,
605,74846.2,441.6,,,
606,75106.3,472.0,,,
607,75367.0,475.1,,,
608,75644.3,450.3333333,,,
609,75935.2,463.3,,,
610,76200.2,477.0,,,
611,76415.5,487.4,,,
612,76695.5,496.975,,,
613,76960.5,512.3,,,
614,77196.6,515.0,,,
615,77447.7,514.9,,,
616,77675.6,536.0,,,
617,77923.9,563.0,,,
618,78153.6,535.3333333,,,
619,78371.9,549.8,,,
620,78619.7,549.3333333,,,
621,78851.9,547.6,,,
622,79126.3,584.0,,,
623,79334.0,576.1,,,
624,79573.5,595.3333333,,,
625,79791.1,571.0,,,
626,80033.4,605.5,,,
627,80262.1,616.7,,,
628,80468.1,616.3333333,,,
629,80689.5,622.3,,,
630,80916.0,629.3333333,,,
631,81116.6,631.3,,,
632,81326.5,559.7,,,
633,81561.0,514.6,,,
634,81788.8,485.3333333,,,
635,82022.3,465.0,,,
636,82275.1,464.0,,,
637,82511.1,444.7,,,
638,82751.1,450.3333333,,,
639,82999.4,442.8,,,
640,83254.9,452.3333333,,,
641,83491.4,454.1,,,
642,83816.3,429.2,,,
643,83996.1,425.2,,,
644,84258.4,468.0,,,
645,84521.6,428.5,,,
646,84776.4,448.0,,,
647,85054.4,445.6,,,
648,85389.5,479.6666667,,,
649,85664.2,506.5,,,
650,85950.7,502.3333333,,,
651,86250.5,507.8,,,
652,86558.8,500.8666667,,,
653,86828.2,494.3,,,
654,87111.4,493.6666667,,,
655,87372.2,475.8,,,
656,87631.0,463.3333333,,,
657,88164.1,445.0,,,
658,88449.7,447.3,,,
659,88743.5,460.6666667,,,
660,89012.0,436.6,,,
661,89288.0,432.3,,,
662,89601.9,447.5,,,
663,89846.5,447.3333333,,,
664,90113.1,436.9,,,
665,90396.0,437.3333333,,,
666,90662.2,441.9,,,
667,90941.5,439.0,,,
668,91481.3,435.6666667,,,
669,91732.8,442.1,,,
670,91990.8,434.0,,,
671,92247.9,453.9,,,
672,92506.5,436.3333333,,,
673,92751.3,452.6,,,
674,93013.0,442.0,,,
675,93285.8,434.9,,,
676,93537.9,453.0,,,
677,93808.8,464.2,,,
678,94070.9,485.6666667,,,
679,94348.1,478.9,,,
680,94607.1,495.0,,,
681,94876.2,501.1,,,
682,95134.7,491.0,,,
683,95396.1,487.4,,,
684,95672.2,504.6666667,,,
685,95934.3,506.0,,,
686,96194.7,511.3333333,,,
687,96443.0,512.0,,,
688,96715.5,523.6666667,,,
689,96992.1,526.2,,,
690,97272.5,525.8,,,
691,97542.0,525.1,,,
692,97805.3,530.3333333,,,
693,98074.2,529.5,,,
694,98378.7,547.0,,,
695,98669.2,537.4,,,
696,98948.9,547.0,,,
697,99219.1,538.0,,,
698,99481.1,542.3333333,,,
699,99740.6,510.9,,,
700,100072.4,490.8,,,
701,100294.7,508.9,,,
702,100592.3,472.3333333,,,
703,100892.9,469.5,,,
704,101206.6,498.3333333,,,
705,101508.4,515.4,,,
706,101837.3,559.0,,,
707,102154.2,573.3,,,
708,102469.8,581.3333333,,,
709,102773.9,602.0,,,
710,103084.3,595.8,,,
711,103414.2,572.0,,,
712,103749.0,617.6666667,,,
713,104041.7,601.4,,,
714,104325.6,595.3333333,,,
715,104597.7,590.5,,,
716,104898.8,483.0,,,
717,105207.2,444.8,,,
718,105530.1,460.0,,,
719,105868.1,464.0,,,
720,106234.6,474.7,,,
721,106626.5,485.6,,,
722,107011.5,507.6666667,,,
723,107360.7,495.1,,,
724,107698.7,508.6666667,,,
725,108043.2,502.4,,,
726,108380.0,504.6666667,,,
727,108719.7,491.7,,,
728,109032.2,496.3333333,,,
729,109359.2,472.7,,,
730,109699.4,474.3,,,
731,110035.1,455.5,,,
732,110360.7,455.0,,,
733,110683.4,463.55,,,
734,111002.8,466.6666667,,,
735,111383.5,451.0,,,
736,111646.1,470.6666667,,,
737,111937.4,470.7,,,
738,112506.2,473.1,,,
739,112778.8,473.6,,,
740,113052.4,472.2,,,
741,113315.4,501.3333333,,,
742,113586.3,496.0,,,
743,113862.5,501.0,,,
744,114122.5,495.1,,,
745,114388.1,504.3333333,,,
746,114649.2,528.0,,,
747,114892.3,543.6666667,,,
748,115145.0,533.3,,,
749,115390.1,546.2,,,
750,115865.7,548.0,,,
751,116085.6,544.7,,,
752,116319.2,578.6666667,,,
753,116559.0,565.4,,,
754,116793.5,577.6666667,,,
755,117013.0,578.5,,,
756,117290.1,590.6666667,,,
757,117462.1,566.5,,,
758,117679.3,571.2,,,
759,117891.7,566.4,,,
760,118119.7,575.6666667,,,
761,118323.1,567.8,,,
762,118546.9,590.6666667,,,
763,118763.4,613.3,,,
764,118964.7,598.0,,,
765,119173.1,600.8,,,
766,119384.1,613.0,,,
767,119586.2,609.8,,,
768,119791.9,603.2,,,
769,119997.3,608.7,,,
770,120210.6,607.3333333,,,
771,120406.5,608.4,,,
772,120605.4,599.0,,,
773,120817.0,606.5,,,
774,121052.6,606.8333333,,,
775,121231.5,608.3,,,
776,121438.0,615.0,,,
777,121639.2,616.3,,,
778,121850.2,611.1,,,
779,122048.4,613.5,,,
780,122243.1,621.3333333,,,
781,122439.9,621.8,,,
782,122703.6,632.0,,,
783,122872.3,626.6,,,
784,123070.9,641.6666667,,,
785,123274.9,642.2,,,
786,123486.0,646.6666667,,,
787,123683.9,655.7,,,
788,123914.7,657.875,,,
789,124108.7,650.2,,,
790,124321.5,659.6666667,,,
791,124536.5,639.7,,,
792,124728.9,651.3333333,,,
793,124905.6,650.4,,,
794,125080.2,646.0,,,
795,125277.8,670.3,,,
796,125471.1,677.0,,,
797,125646.4,681.1,,,
798,125687.1,678.8,,,
799,125823.5,692.1,,,
800,125982.5,706.0,,,
801,126158.4,715.0,,,
802,126320.0,703.6,,,
803,126472.9,722.3333333,,,
804,126635.0,725.5,,,
805,126800.1,644.0,,,
806,126971.4,534.5,,,
807,127147.1,536.6666667,,,
808,127323.8,551.5,,,
809,127494.5,550.7,,,
810,127678.5,531.0,,,
811,127856.2,515.0,,,
812,128060.6,512.1,,,
813,128283.1,499.3333333,,,
814,128459.0,521.2,,,
815,128689.7,518.0,,,
816,128924.5,487.1,,,
817,129162.8,493.0,,,
818,129401.1,494.1,,,
819,129674.2,479.2,,,
820,129955.9,455.8,,,
821,130257.7,461.3333333,,,
822,130596.2,461.7,,,
823,130925.9,460.3333333,,,
824,131289.4,448.8,,,
825,131653.1,506.3333333,,,
826,132034.3,427.5,,,
827,132438.7,436.3333333,,,
828,132850.1,415.1,,,
829,133351.9,403.6,,,
830,133852.9,381.5,,,
831,134422.2,408.6666667,,,
832,134855.5,375.0,,,
833,135574.5,394.6666667,,,
834,135868.8,394.9,,,
835,136501.0,405.6666667,,,
836,136919.0,367.6,,,
837,137455.1,432.3333333,,,
838,138021.2,357.7,,,
839,138567.8,342.4,,,
840,139124.6,349.1,,,
841,139667.6,359.0,,,
842,140216.7,368.1,,,
843,140827.4,375.3333333,,,
844,141259.8,385.1,,,
845,141848.9,401.3333333,,,
846,142352.1,400.875,,,
847,142883.7,375.3333333,,,
848,143448.7,390.9,,,
849,144078.8,402.3,,,
850,144482.5,409.8,,,
851,145097.6,421.0,,,
852,145559.4,423.4,,,
853,146084.1,470.6666667,,,
854,146632.0,427.8,,,
855,147240.1,432.6666667,,,
856,147685.7,441.2,,,
857,148176.3,404.3333333,,,
858,148698.0,400.1,,,
859,149233.2,432.2,,,
860,149764.5,422.0,,,
861,150410.9,425.6666667,,,
862,150831.3,413.0,,,
863,151388.3,401.5,,,
864,151972.2,402.6,,,
865,152514.6,393.3333333,,,
866,153071.8,384.5,,,
867,153614.5,406.6666667,,,
868,154208.0,399.2,,,
869,154832.8,421.7,,,
870,155480.7,400.2,,,
871,156047.2,410.0,,,
872,156569.6,407.2,,,
873,157047.7,440.0,,,
874,157526.4,406.9,,,
875,158058.2,415.3333333,,,
876,158660.9,410.1,,,
877,159388.7,423.6666667,,,
878,159839.6,413.0,,,
879,160371.1,442.0,,,
880,160896.2,410.9,,,
881,161415.0,417.0,,,
882,162023.9,392.9,,,
883,162599.2,383.5,,,
884,163198.4,423.8,,,
885,163782.6,433.0,,,
886,164359.5,449.3,,,
887,164956.6,479.3333333,,,
888,165539.9,495.3,,,
889,166061.3,495.9,,,
890,166542.4,444.9,,,
891,167050.5,478.0,,,
892,167602.7,442.3,,,
893,168213.4,447.5,,,
894,168816.0,484.2,,,
895,169396.5,480.0,,,
896,170480.1,433.0,,,
897,171188.6,455.9,,,
898,171683.0,427.3,,,
899,172236.1,457.3,,,
900,172788.6,471.3333333,,,
901,173390.7,466.1,,,
902,174079.2,499.0,,,
903,174724.0,546.8,,,
904,175301.1,550.3333333,,,
905,175827.6,541.6,,,
906,176470.6,479.3333333,,,
907,176969.1,482.5,,,
908,177626.7,451.9,,,
909,178269.5,489.9,,,
910,179069.2,496.3333333,,,
911,179614.1,495.9,,,
912,180323.2,527.6666667,,,
913,180964.6,529.9,,,
914,181766.4,532.0,,,
915,182257.7,513.9,,,
916,182905.3,475.6666667,,,
917,183592.6,458.7,,,
918,184255.8,447.2,,,
919,184962.1,436.5,,,
920,185465.6,446.0,,,
921,185981.4,461.85,,,
922,186546.5,425.0,,,
923,187072.5,423.3,,,
924,187650.5,432.3333333,,,
925,188309.4,470.0,,,
926,189120.2,471.0,,,
927,189652.2,495.5,,,
928,190150.3,511.9,,,
929,190741.6,502.8,,,
930,191329.1,493.3333333,,,
931,191965.4,472.1,,,
932,192550.4,487.6666667,,,
933,193112.9,530.1,,,
934,193655.3,534.0,,,
935,194154.4,548.0,,,
936,194666.2,564.3333333,,,
937,195165.1,588.8,,,
938,195632.0,579.4,,,
939,196085.7,598.4,,,
940,196515.0,609.3333333,,,
941,196953.6,667.5,,,
942,197400.0,627.3333333,,,
943,198398.2,539.0,,,
944,198791.2,529.7,,,
945,199343.5,538.6666667,,,
946,199708.6,541.3,,,
947,200213.0,466.3,,,
948,200725.6,489.4,,,
949,201301.8,435.6666667,,,
950,201846.6,493.0,,,
951,202401.2,462.0,,,
952,202936.1,487.7,,,
953,203425.8,490.0,,,
954,203931.5,505.5,,,
955,204401.2,487.0,,,
956,204902.1,499.2,,,
957,205390.3,512.6,,,
