,Years,CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm),years_workaround
151,1330.4541,,0.89,,,13.304540999999999
152,1344.70923,,-0.17,,,13.4470923
153,1350.0,,,217.7,277.4,13.5
154,1357.6,581.3,,,,13.575999999999999
155,1358.6217,,1.55,,,13.586217
156,1372.61572,,0.89,,,13.7261572
157,1386.61511,,-0.17,,,13.8661511
158,1400.62073,,-0.02,,,14.006207300000002
159,1409.7,589.1519454,,,,14.097000000000001
160,1415.92065,,-0.48,,,14.1592065
161,1431.90051,,-0.7,,,14.3190051
162,1447.89026,,-0.45,,,14.4789026
163,1453.0,,,217.0,279.2,14.53
164,1463.26855,,1.04,,,14.632685500000001
165,1478.73511,,-0.93,,,14.7873511
166,1483.1,572.7,,,,14.831
167,1494.21582,,-0.32,,,14.9421582
168,1509.67847,,-0.54,,,15.0967847
169,1525.08606,,-0.27,,,15.250860600000001
170,1540.51196,,0.9,,,15.4051196
171,1552.0,,,217.4,280.0,15.52
172,1556.2,569.8,,,,15.562000000000001
173,1556.33752,,-0.92,,,15.563375200000001
174,1566.9,559.5379345,,,,15.669
175,1571.98694,,0.04,,,15.7198694
176,1588.01611,,0.24,,,15.8801611
177,1604.08252,,-1.15,,,16.0408252
178,1620.57983,,-0.84,,,16.205798299999998
179,1622.1,574.5989508,,,,16.221
180,1637.10657,,0.73,,,16.3710657
181,1638.0,,,217.4,278.9,16.38
182,1652.3,595.6684431,,,,16.523
183,1654.01477,,-1.24,,,16.5401477
184,1663.6,577.7,,,,16.636
185,1670.17859,,0.42,,,16.7017859
186,1686.01746,,0.35,,,16.8601746
187,1702.25342,,-0.81,,,17.0225342
188,1719.76782,,-0.56,,,17.1976782
189,1733.0,,,216.9,278.7,17.33
190,1736.97498,,-0.11,,,17.3697498
191,1740.3,578.0,,,,17.403
192,1746.5,580.7,,,,17.465
193,1754.16895,,0.1,,,17.5416895
194,1770.60083,,0.55,,,17.7060083
195,1787.40186,,-1.41,,,17.8740186
196,1804.23096,,0.25,,,18.0423096
197,1812.0,,,218.2,278.0,18.12
198,1821.97449,,-1.04,,,18.219744900000002
199,1823.2,575.8749785,,,,18.232
200,1839.34473,,-0.99,,,18.393447300000002
201,1856.49829,,0.35,,,18.5649829
202,1872.56653,,-1.06,,,18.7256653
203,1888.98816,,1.79,,,18.889881600000002
204,1905.45862,,0.0,,,19.054586200000003
205,1922.0116,,0.01,,,19.220116
206,1931.0,,,216.8,276.9,19.31
207,1938.20874,,-0.38,,,19.3820874
208,1941.9,573.5,,,,19.419
209,1954.7,578.3925521,,,,19.547
210,1955.51404,,0.18,,,19.5551404
211,1972.75623,,-0.3,,,19.7275623
212,1990.00256,,-0.73,,,19.9000256
213,2007.35229,,-1.08,,,20.0735229
214,2014.5,575.1261252,,,,20.145
215,2025.23914,,-0.02,,,20.2523914
216,2036.2,548.9266811,,,,20.362000000000002
217,2043.51099,,-0.92,,,20.4351099
218,2044.1,567.7,,,,20.441
219,2057.0,,,216.3,276.7,20.57
220,2060.98633,,1.62,,,20.6098633
221,2078.09888,,-0.7,,,20.7809888
222,2095.21533,,-0.74,,,20.9521533
223,2112.52783,,0.44,,,21.1252783
224,2128.0,,,217.8,276.7,21.28
225,2128.8,575.7,,,,21.288
226,2129.74927,,-0.64,,,21.2974927
227,2131.7,563.0,,,,21.316999999999997
228,2147.34131,,-0.34,,,21.4734131
229,2165.32129,,-1.02,,,21.6532129
230,2183.99536,,-0.48,,,21.839953599999998
231,2191.5,570.3,,,,21.915
232,2202.29272,,-0.46,,,22.022927199999998
233,2212.0,,,217.0,277.6,22.12
234,2219.3938,,,,,22.193938
235,2223.3,581.8659941,,,,22.233
236,2236.5647,,0.86,,,22.365647
237,2253.38916,,0.3,,,22.5338916
238,2270.87402,,-0.35,,,22.7087402
239,2288.77588,,0.17,,,22.8877588
240,2306.32422,,-2.05,,,23.0632422
241,2326.60645,,-1.41,,,23.266064500000002
242,2334.0,,,218.4,277.9,23.34
243,2346.90186,,-0.63,,,23.4690186
244,2355.3,577.3,,,,23.553
245,2359.1,567.7,,,,23.590999999999998
246,2366.62476,,-0.83,,,23.666247600000002
247,2375.4,579.021,,,,23.754
248,2385.38379,,-0.94,,,23.8538379
249,2404.53833,,-1.97,,,24.045383299999997
250,2406.8,583.993827,,,,24.068
251,2415.9,569.7,,,,24.159000000000002
252,2423.7998,,-0.78,,,24.237997999999997
253,2433.0,,,217.7,273.9,24.33
254,2443.08032,,0.0,,,24.4308032
255,2462.51489,,-0.65,,,24.6251489
256,2480.89111,,-0.63,,,24.8089111
257,2489.5,569.8833134,,,,24.895
258,2499.64697,,0.16,,,24.9964697
259,2510.6,568.1,,,,25.105999999999998
260,2517.80176,,-0.45,,,25.178017599999997
261,2520.6,582.4490752,,,,25.206
262,2523.5,561.7,,,,25.235
263,2535.12402,,0.92,,,25.351240200000003
264,2536.0,,,216.7,278.9,25.36
265,2546.0,580.0672454,,,,25.46
266,2552.80396,,-0.11,,,25.528039600000003
267,2570.83887,,0.51,,,25.7083887
268,2589.01855,,-0.77,,,25.890185499999998
269,2600.8,559.5086695,,,,26.008000000000003
270,2604.0,,,216.2,275.3,26.04
271,2607.20264,,0.37,,,26.0720264
272,2624.53931,,0.85,,,26.2453931
273,2639.3,579.7013541,,,,26.393
274,2641.80493,,0.09,,,26.418049299999996
275,2659.10327,,-0.19,,,26.5910327
276,2674.5,559.659818,,,,26.745
277,2678.04224,,-0.56,,,26.780422400000003
278,2696.61401,,-0.2,,,26.966140099999997
279,2714.85034,,-0.88,,,27.1485034
280,2728.0,,,217.9,274.7,27.28
281,2732.7207,,1.29,,,27.327206999999998
282,2732.8,563.0,,,,27.328000000000003
